,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
danceability,1.0,-0.1502623493353637,-0.012805784955813302,-0.1864781012090872,0.05605788961191907,0.09791447946953119,0.021942963005761235,0.1484593168134881,-0.13056220800542284,0.3785927164344082,-0.1815357729488672,0.12449041471445509
energy,-0.1502623493353637,1.0,-0.0002978923964649877,0.6382136574988935,-0.025746367810392346,0.04141260042976491,-0.4084191792933015,0.12691100443083958,0.16448016537742363,-0.04988803285985468,0.19965629442765803,-0.08720764063554831
key,-0.012805784955813302,-0.0002978923964649877,1.0,-0.020058542091925393,-0.17353027312714916,0.005544714534292842,-0.007382947255956505,-0.005988917630490134,0.01788117744791416,0.019160944300283672,-0.011990379570257104,0.027562104684625915
loudness,-0.1864781012090872,0.6382136574988935,-0.020058542091925393,1.0,-0.018811283047421457,0.03344856375716609,-0.243094782608471,-0.22344972696379284,0.1292732679402943,-0.003501134279912106,0.12441222077964247,-0.2532748964282443
mode,0.05605788961191907,-0.025746367810392346,-0.17353027312714916,-0.018811283047421457,1.0,-0.0031779392506582427,0.018662630360257802,0.051549171882105956,-0.028646555695863114,0.0026287653448528697,-0.030472600709386233,0.016317500913608837
speechiness,0.09791447946953119,0.04141260042976491,0.005544714534292842,0.03344856375716609,-0.0031779392506582427,1.0,0.06861348562844206,-0.0906987036137856,0.09380454240608632,0.08681655954951022,0.0735428816796319,-0.0891455719107141
acousticness,0.021942963005761235,-0.4084191792933015,-0.007382947255956505,-0.243094782608471,0.018662630360257802,0.06861348562844206,1.0,-0.1405894896075351,-0.05503555481934859,0.13500315338158286,-0.11980795625311355,-0.12174845954631493
instrumentalness,0.1484593168134881,0.12691100443083958,-0.005988917630490134,-0.22344972696379284,0.051549171882105956,-0.0906987036137856,-0.1405894896075351,1.0,-0.04256519178629718,-0.16880165940876374,0.04239117046499053,0.3079001122221714
liveness,-0.13056220800542284,0.16448016537742363,0.01788117744791416,0.1292732679402943,-0.028646555695863114,0.09380454240608632,-0.05503555481934859,-0.04256519178629718,1.0,-0.057337343679644825,0.051038011699427045,-0.10219067230204941
valence,0.3785927164344082,-0.04988803285985468,0.019160944300283672,-0.003501134279912106,0.0026287653448528697,0.08681655954951022,0.13500315338158286,-0.16880165940876374,-0.057337343679644825,1.0,-0.05460367336316759,-0.10660347983693132
tempo,-0.1815357729488672,0.19965629442765803,-0.011990379570257104,0.12441222077964247,-0.030472600709386233,0.0735428816796319,-0.11980795625311355,0.04239117046499053,0.051038011699427045,-0.05460367336316759,1.0,-0.0036569417685309176
duration_ms,0.12449041471445509,-0.08720764063554831,0.027562104684625915,-0.2532748964282443,0.016317500913608837,-0.0891455719107141,-0.12174845954631493,0.3079001122221714,-0.10219067230204941,-0.10660347983693132,-0.0036569417685309176,1.0
