,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
danceability,1.0,-0.03072924162158614,0.024539380785043363,0.02518779215783103,-0.07808243170179471,0.06624247041304782,-0.027176905187464517,-0.017218760118034932,-0.09049252149974617,0.37144365836555115,-0.20786055563375258,-0.11356744113454205
energy,-0.03072924162158614,1.0,0.003659644237368421,0.6737390449067959,-0.03152428726242112,0.00043648568056455466,-0.5961092753709452,-0.029831951289667365,0.1619620838562997,0.3163516782373157,0.14906950307678454,0.006858428487507899
key,0.024539380785043363,0.003659644237368421,1.0,-0.027927222058050195,-0.13655678849221095,0.011796448556009496,0.003997377841156547,0.02238203673341809,-0.0031292529630303216,0.0020272531311176243,-0.0009137363537343722,0.019222772337421458
loudness,0.02518779215783103,0.6737390449067959,-0.027927222058050195,1.0,-0.016248708673099205,0.02837982077874376,-0.43320698678757313,-0.26093862681172836,0.10626285668405917,0.22026117549335905,0.06820289294788832,-0.169449832071315
mode,-0.07808243170179471,-0.03152428726242112,-0.13655678849221095,-0.016248708673099205,1.0,-0.04840877782467491,0.029010763413468182,-0.023968627449085306,-0.02255359447189509,-0.017429174594101066,0.007076063334632157,-0.017467978823319182
speechiness,0.06624247041304782,0.00043648568056455466,0.011796448556009496,0.02837982077874376,-0.04840877782467491,1.0,0.04591015945239237,-0.08853931615978525,0.05979224484177103,0.02999865535359169,0.10820544544643512,-0.12293604070086779
acousticness,-0.027176905187464517,-0.5961092753709452,0.003997377841156547,-0.43320698678757313,0.029010763413468182,0.04591015945239237,1.0,0.04556227744865288,-0.09742703974072317,-0.19405766590397006,-0.11882080148034284,-0.04639027579027439
instrumentalness,-0.017218760118034932,-0.029831951289667365,0.02238203673341809,-0.26093862681172836,-0.023968627449085306,-0.08853931615978525,0.04556227744865288,1.0,-0.026933635942198608,-0.08969680385422148,0.013411414777584427,0.23070154197257536
liveness,-0.09049252149974617,0.1619620838562997,-0.0031292529630303216,0.10626285668405917,-0.02255359447189509,0.05979224484177103,-0.09742703974072317,-0.026933635942198608,1.0,0.01990661910232026,0.04475865002973029,-0.04364975541599348
valence,0.37144365836555115,0.3163516782373157,0.0020272531311176243,0.22026117549335905,-0.017429174594101066,0.02999865535359169,-0.19405766590397006,-0.08969680385422148,0.01990661910232026,1.0,0.02729538903849787,-0.10771274498148051
tempo,-0.20786055563375258,0.14906950307678454,-0.0009137363537343722,0.06820289294788832,0.007076063334632157,0.10820544544643512,-0.11882080148034284,0.013411414777584427,0.04475865002973029,0.02729538903849787,1.0,0.01557319862024352
duration_ms,-0.11356744113454205,0.006858428487507899,0.019222772337421458,-0.169449832071315,-0.017467978823319182,-0.12293604070086779,-0.04639027579027439,0.23070154197257536,-0.04364975541599348,-0.10771274498148051,0.01557319862024352,1.0
