,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
danceability,1.0,0.15920135556821216,0.040784969523082644,0.11072054207623773,-0.05871067044939259,0.113476811526624,-0.309805030993385,-0.03311278736645562,-0.05886986939105738,0.39412880848846327,-0.13825683063529845,-0.04820012860147916
energy,0.15920135556821216,1.0,0.036253199256983226,0.6020922611276114,-0.02117478008311827,0.11732732627270188,-0.5234117345905671,-0.025751478584795543,0.1329918469957517,0.4177846831292043,0.057722306758611994,0.01211690326459324
key,0.040784969523082644,0.036253199256983226,1.0,0.014013331516717596,-0.18635783316532864,-0.004854937182573657,-0.016388006071904535,0.008252281310898429,0.002235026319700887,0.053427104897936804,-0.02040747502289494,0.02238764794415485
loudness,0.11072054207623773,0.6020922611276114,0.014013331516717596,1.0,-0.007415297932352345,0.07626840293747937,-0.301678837808005,-0.12624978965033548,0.04583936245488062,0.13977858010955557,0.0328782641889676,-0.14899343300182993
mode,-0.05871067044939259,-0.02117478008311827,-0.18635783316532864,-0.007415297932352345,1.0,-0.05958332070429309,0.035671964778587466,-0.0162293538592502,0.008880199873650588,-0.06167026717541381,0.025595906301793002,-0.009030042641543886
speechiness,0.113476811526624,0.11732732627270188,-0.004854937182573657,0.07626840293747937,-0.05958332070429309,1.0,-0.0739411354788889,-0.09074533964141172,0.0993503460109425,0.043077100499239025,0.05811832266605778,-0.13643749832865693
acousticness,-0.309805030993385,-0.5234117345905671,-0.016388006071904535,-0.301678837808005,0.035671964778587466,-0.0739411354788889,1.0,0.03639804195907521,-0.05153435983291256,-0.2228106418517124,-0.05278871558764034,-0.08257158401209978
instrumentalness,-0.03311278736645562,-0.025751478584795543,0.008252281310898429,-0.12624978965033548,-0.0162293538592502,-0.09074533964141172,0.03639804195907521,1.0,-0.025924292913200125,-0.028882919385591774,-0.0060476265019889985,0.02219043006013405
liveness,-0.05886986939105738,0.1329918469957517,0.002235026319700887,0.04583936245488062,0.008880199873650588,0.0993503460109425,-0.05153435983291256,-0.025924292913200125,1.0,0.030322787541243682,-0.01660710855576251,-0.007638816562815418
valence,0.39412880848846327,0.4177846831292043,0.053427104897936804,0.13977858010955557,-0.06167026717541381,0.043077100499239025,-0.2228106418517124,-0.028882919385591774,0.030322787541243682,1.0,-0.025829810873388946,0.03106331668727498
tempo,-0.13825683063529845,0.057722306758611994,-0.02040747502289494,0.0328782641889676,0.025595906301793002,0.05811832266605778,-0.05278871558764034,-0.0060476265019889985,-0.01660710855576251,-0.025829810873388946,1.0,-0.028384939960960923
duration_ms,-0.04820012860147916,0.01211690326459324,0.02238764794415485,-0.14899343300182993,-0.009030042641543886,-0.13643749832865693,-0.08257158401209978,0.02219043006013405,-0.007638816562815418,0.03106331668727498,-0.028384939960960923,1.0
