,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
danceability,1.0,-0.14817332336056438,-0.006415602260032774,-0.0216832753385064,0.025187190803174192,0.018533517910014573,-0.060993871596194175,-0.171762274469242,-0.13147118256352708,0.2505740119145629,-0.1062284013219346,0.006369382566769215
energy,-0.14817332336056438,1.0,0.013208454692118453,0.72375483297487,0.04597662592593721,0.061846169972230525,-0.41306808685469526,-0.37527816953288123,0.1627965811790533,0.20765204606068044,0.09124310197777419,0.24988579428561838
key,-0.006415602260032774,0.013208454692118453,1.0,-0.00137738286576416,-0.2396111491676499,0.03138038982782338,0.020272634664263486,0.004428428992494554,0.011221400057969793,0.046151507433600594,-0.029860971433930194,0.022683396927769207
loudness,-0.0216832753385064,0.72375483297487,-0.00137738286576416,1.0,0.02858332215077591,-0.012833215345705206,-0.35424011076336925,-0.40440488561104837,0.07346234703568336,0.0996685355855211,0.08733725578426195,0.19498885445104325
mode,0.025187190803174192,0.04597662592593721,-0.2396111491676499,0.02858332215077591,1.0,-8.029772949999624e-05,-0.0700801573758888,-0.005566333728051468,0.046929031319624205,-0.023085269772576474,-0.00762071386248265,0.01830290237050236
speechiness,0.018533517910014573,0.061846169972230525,0.03138038982782338,-0.012833215345705206,-8.029772949999624e-05,1.0,-0.040535310346207734,-0.19401394566494298,0.09312761842464415,0.1721754533856887,0.021290730967455467,0.06057705396595826
acousticness,-0.060993871596194175,-0.41306808685469526,0.020272634664263486,-0.35424011076336925,-0.0700801573758888,-0.040535310346207734,1.0,0.3797734954229522,-0.08152154701775428,-0.01748543875379867,-0.08276376124126705,-0.2754860376554717
instrumentalness,-0.171762274469242,-0.37527816953288123,0.004428428992494554,-0.40440488561104837,-0.005566333728051468,-0.19401394566494298,0.3797734954229522,1.0,-0.06109444281461117,-0.15584967909388472,-0.059721362648053146,-0.3225137622209188
liveness,-0.13147118256352708,0.1627965811790533,0.011221400057969793,0.07346234703568336,0.046929031319624205,0.09312761842464415,-0.08152154701775428,-0.06109444281461117,1.0,0.047509389581065625,-0.016125434864380776,0.12163968155003907
valence,0.2505740119145629,0.20765204606068044,0.046151507433600594,0.0996685355855211,-0.023085269772576474,0.1721754533856887,-0.01748543875379867,-0.15584967909388472,0.047509389581065625,1.0,-0.02228641566259233,0.12455704339934955
tempo,-0.1062284013219346,0.09124310197777419,-0.029860971433930194,0.08733725578426195,-0.00762071386248265,0.021290730967455467,-0.08276376124126705,-0.059721362648053146,-0.016125434864380776,-0.02228641566259233,1.0,-0.004334978538815687
duration_ms,0.006369382566769215,0.24988579428561838,0.022683396927769207,0.19498885445104325,0.01830290237050236,0.06057705396595826,-0.2754860376554717,-0.3225137622209188,0.12163968155003907,0.12455704339934955,-0.004334978538815687,1.0
