,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
danceability,1.0,-0.15288171070499987,-0.047993193974271584,-0.14372884521116974,0.027950080802779657,-0.13917857544009102,0.13085098019299243,-0.048604588329754894,-0.1622257324712187,0.5033358147366307,-0.24638434607221996,-0.14139805317558463
energy,-0.15288171070499987,1.0,0.02743961128333409,0.7499342244185322,-0.053088307073929315,0.3217386157178355,-0.6065003164485452,-0.025058306304570933,0.16260142306986938,0.13572983275413886,0.20027501541021453,-0.09639874083470837
key,-0.047993193974271584,0.02743961128333409,1.0,0.027975338814461372,-0.12315331361179546,0.04137328024736247,-0.017772212988959604,0.0302392907922306,-0.023176253638712365,-0.024564082187451815,0.023317335766866235,0.026225526522547823
loudness,-0.14372884521116974,0.7499342244185322,0.027975338814461372,1.0,-0.05228859732180432,0.23468209492910738,-0.4572090302852837,-0.11027417157016775,0.07166463317001368,-0.04591073712895877,0.13841833109760268,-0.13046443082172718
mode,0.027950080802779657,-0.053088307073929315,-0.12315331361179546,-0.05228859732180432,1.0,-0.0801270205250431,0.07067949137996812,-0.010615779911951631,-0.009343286495140372,0.07438668154823577,0.019813553388886497,-0.01788016134233584
speechiness,-0.13917857544009102,0.3217386157178355,0.04137328024736247,0.23468209492910738,-0.0801270205250431,1.0,-0.1490379918456859,-0.026773088448629953,0.07473170257107356,-0.09272888623253711,0.17855200594114837,-0.0928791581506126
acousticness,0.13085098019299243,-0.6065003164485452,-0.017772212988959604,-0.4572090302852837,0.07067949137996812,-0.1490379918456859,1.0,0.04202016156516801,-0.07404147485124579,-0.02862225119107363,-0.13950018753233662,0.026351734771647352
instrumentalness,-0.048604588329754894,-0.025058306304570933,0.0302392907922306,-0.11027417157016775,-0.010615779911951631,-0.026773088448629953,0.04202016156516801,1.0,0.025722027090534012,-0.061566314184815694,0.00029697232736139255,0.07698320934052728
liveness,-0.1622257324712187,0.16260142306986938,-0.023176253638712365,0.07166463317001368,-0.009343286495140372,0.07473170257107356,-0.07404147485124579,0.025722027090534012,1.0,-0.022406490825052153,0.03814713610189412,0.04069301886683488
valence,0.5033358147366307,0.13572983275413886,-0.024564082187451815,-0.04591073712895877,0.07438668154823577,-0.09272888623253711,-0.02862225119107363,-0.061566314184815694,-0.022406490825052153,1.0,0.018346893273194106,-0.18731092541580152
tempo,-0.24638434607221996,0.20027501541021453,0.023317335766866235,0.13841833109760268,0.019813553388886497,0.17855200594114837,-0.13950018753233662,0.00029697232736139255,0.03814713610189412,0.018346893273194106,1.0,-0.01609473528446595
duration_ms,-0.14139805317558463,-0.09639874083470837,0.026225526522547823,-0.13046443082172718,-0.01788016134233584,-0.0928791581506126,0.026351734771647352,0.07698320934052728,0.04069301886683488,-0.18731092541580152,-0.01609473528446595,1.0
