track_id,track_artist,track_album_name,playlist_name,playlist_genre,playlist_subgenre
6f807x0ima9a1j3VPbc7VN,Ed Sheeran,I Don't Care (with Justin Bieber) [Loud Luxury Remix],Pop Remix,pop,dance pop
0r7CVbZTWZgbTCYdfa2P31,Maroon 5,Memories (Dillon Francis Remix),Pop Remix,pop,dance pop
1z1Hg7Vb0AhHDiEmnDE79l,Zara Larsson,All the Time (Don Diablo Remix),Pop Remix,pop,dance pop
75FpbthrwQmzHlBJLuGdC7,The Chainsmokers,Call You Mine - The Remixes,Pop Remix,pop,dance pop
1e8PAfcKUYoKkxPhrHqw4x,Lewis Capaldi,Someone You Loved (Future Humans Remix),Pop Remix,pop,dance pop
7fvUMiyapMsRRxr07cU8Ef,Ed Sheeran,Beautiful People (feat. Khalid) [Jack Wins Remix],Pop Remix,pop,dance pop
2OAylPUDDfwRGfe0lYqlCQ,Katy Perry,Never Really Over (R3HAB Remix),Pop Remix,pop,dance pop
6b1RNvAcJjQH73eZO4BLAB,Sam Feldt,Post Malone (feat. RANI) [GATTÜSO Remix],Pop Remix,pop,dance pop
7bF6tCO3gFb8INrEDcjNT5,Avicii,Tough Love (Tiësto Remix),Pop Remix,pop,dance pop
1IXGILkPm0tOCNeq00kCPa,Shawn Mendes,If I Can't Have You (Gryffin Remix),Pop Remix,pop,dance pop
3eFJI470ALf1EYjywPRsJy,Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix],Pop Remix,pop,dance pop
3iJeF2izF1QcpCgUc97BLl,Ellie Goulding,Hate Me (R3HAB Remix),Pop Remix,pop,dance pop
6e0CvGZf7CouOpYF8toXHC,Loud Luxury,Body On My,Pop Remix,pop,dance pop
3eLdNmnRWr9gIyBcqTSSti,Avicii,SOS (Laidback Luke Tribute Remix),Pop Remix,pop,dance pop
55nMnifaQWKe3f9cbwOXwx,Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes],Pop Remix,pop,dance pop
1EJgymgJHcjSOGSHcYaxvW,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B) [Andy Jarvis Remix],Pop Remix,pop,dance pop
5WaXMQMlQpq8pwIdaFP43L,AJ Mitchell,All My Friends (Eden Prince Remix),Pop Remix,pop,dance pop
3TjLsDgL0bTbSQIF6M5Ki8,David Guetta,Say My Name (feat. Bebe Rexha & J Balvin) [Lucas & Steve Remix],Pop Remix,pop,dance pop
0GfS3y8Jd7SHWd9R51s7Fo,Sam Smith,Dancing With A Stranger (With Normani) [Cheat Codes Remix],Pop Remix,pop,dance pop
2v3DuCVBbopteJqdM7aKQK,Steve Aoki,Let It Be Me (Remixes),Pop Remix,pop,dance pop
4QAUGy6k7c3IOAhgWz52r7,Avicii,Heaven (David Guetta & MORTEN Remix),Pop Remix,pop,dance pop
3Ciaf6WgvG95TGRGxQ1yO8,R3HAB,All Around The World (La La La) [Marnik Remix],Pop Remix,pop,dance pop
1mC2UjWt25Oixtqu7C6suL,David Guetta,Don't Leave Me Alone (feat. Anne-Marie) [EDX's Indian Summer Remix],Pop Remix,pop,dance pop
2wenGTypSYHXl1sN1pNC7X,AJ Mitchell,Slow Dance (feat. Ava Max) [Sam Feldt Remix],Pop Remix,pop,dance pop
4sqABRRGU7CzcHXCyxUzFw,The Chainsmokers,Do You Mean - The Remixes (feat. Ty Dolla $ign & bülow),Pop Remix,pop,dance pop
5dy3WUywjZcalTno1io8TQ,Lewis Capaldi,Hold Me While You Wait (Steve Void Remix),Pop Remix,pop,dance pop
2M9GeaCQXrV12J0wzBxIwi,Marshmello,One Thing Right (Remixes),Pop Remix,pop,dance pop
1zzOMDmkRZy0g9f4JTAZKn,Ellie Goulding,Close To Me (Remixes),Pop Remix,pop,dance pop
4OFFY6L5ywYM1TwhXX69wQ,Ava Max,So Am I (Toby Green Remix),Pop Remix,pop,dance pop
1hr5Y2i4NlE3LPvQZ9Q5Ao,Nikki Vianna,When You Leave (Breathe Carolina Remix),Pop Remix,pop,dance pop
1aT7vltGhkjyMI3F3aO3A4,Charlie Puth,Mother (Fedde Le Grand Remix),Pop Remix,pop,dance pop
4YaU1EjXIkdRdkOI4cCZys,Starley,Signs (Eden Prince Remix),Pop Remix,pop,dance pop
0Fc9QSMX6fgEBgDjUax7t7,Zara Larsson,Ruin My Life (Remixes),Pop Remix,pop,dance pop
7AasLZ4TYgh7dbJXZxcZVE,Ava Max,Torn (KREAM Remix),Pop Remix,pop,dance pop
7p4jpmyBnOpqQ3rSGJzZ7w,James Arthur,Quite Miss Home (Steve Void Remix),Pop Remix,pop,dance pop
4sLtguRBis05qfsBgJ1IdN,MAX,Love Me Less (Remixes),Pop Remix,pop,dance pop
508lUjbGcPrL0CfvHC7UvI,Marshmello,Happier (Remixes Pt. 2),Pop Remix,pop,dance pop
7FDaS1k08rwMoAThmzUkOZ,The Chainsmokers,Side Effects - Remixes,Pop Remix,pop,dance pop
6m8SIT10j41SPpPFOknTmP,ILLENIUM,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],Pop Remix,pop,dance pop
5Vwgf4MVO0vLv8fbxaGGiW,Bazzi vs.,Paradise (Bazzi vs. Black Caviar Remix),Pop Remix,pop,dance pop
5scxjvcdozadBoRRN0UMaM,Charli XCX,White Mercedes (EDX's Miami Sunset Remix),Pop Remix,pop,dance pop
6oJ6le65B3SEqPwMRNXWjY,Kygo,Higher Love,Pop Remix,pop,dance pop
2tilX6FUl0IwFgiOYjuc6V,Armin van Buuren,Unlove You,Pop Remix,pop,dance pop
3yNZ5r3LKfdmjoS3gkhUCT,Billie Eilish,bad guy (with Justin Bieber),Pop Remix,pop,dance pop
478QYNLw6dhTTx4oEkhBeq,Ava Max,Freaking Me Out (Keanu Silva Remix),Pop Remix,pop,dance pop
3C4fzUgIP3ahkhOBdP38GM,Sia,Heaven Can Wait (The Aston Shuffle Remix),Pop Remix,pop,dance pop
2k4c9ZAlIYHyXiJ4i20FO7,Sean Paul,When It Comes To You (Remixes),Pop Remix,pop,dance pop
79zGYOcAe2VmJsyQiJX31a,Charli XCX,Gone (The Wild Remix),Pop Remix,pop,dance pop
6B2NRQjtSOtqi67d72r5cx,Estelle,American Boy (Brooks Remix),Pop Remix,pop,dance pop
08rBIlTMXlF5uEHobZglxv,Bastille,Million Pieces (M-22 Remix),Pop Remix,pop,dance pop
1BmdqDrBU5eohtRwHBls6C,for KING & COUNTRY,joy. (R3HAB Remix),Pop Remix,pop,dance pop
5rxKInBVj0QE87KenyDiLf,Steve Aoki,Crash Into Me (Settle Down Steavis Aoki Remix),Pop Remix,pop,dance pop
3kgKVcBpBGuSeaEC0AZGlb,Lil Nas X,Old Town Road (Diplo Remix),Pop Remix,pop,dance pop
5qCrT9lVmIGxqB8i6bb83P,Starley,Lovers + Strangers (GATTÜSO Remix),Pop Remix,pop,dance pop
3Lv3frZVXU7Q0JEFvLIzWW,Calvin Harris,Promises (with Sam Smith) [Remixes],Pop Remix,pop,dance pop
2bZYJvVRN5EqIvAUFhUNls,R3HAB,Flames (with ZAYN) (R3HAB & Skytech VIP Remix),Pop Remix,pop,dance pop
3utdq3dPLVD4r7Vv9BnCAI,Why Don't We,What Am I (SONDR Remix),Pop Remix,pop,dance pop
1ppOGANOzMT01Cxh9jx4hN,Olympis,Cool Kids,Pop Remix,pop,dance pop
5Shjuje8PRcX7ueEVajrLH,DJ Snake,Loco Contigo (with J. Balvin & Tyga) [Cedric Gervais Remix],Pop Remix,pop,dance pop
6wKJjrWWP4qpzYbE8oQkc4,Smash Mouth,All Star (Breathe Carolina Remix),Pop Remix,pop,dance pop
6EDH26ppl7R8oV4tGilCkS,SHAED,Melt (Deluxe),Pop Remix,pop,dance pop
4RaN7556EogBfF80klMEX2,David Guetta,Stay (Don't Go Away) [feat. Raye] [Mark Knight Remix],Pop Remix,pop,dance pop
1nwoWaqzB30bD4IPqRNuex,Kaskade,With You - The Remixes,Pop Remix,pop,dance pop
4fDBElPGDqZQ3rJorZTm2w,GASHI,Safety (The Dark Heart Remixes) (feat. DJ Snake),Pop Remix,pop,dance pop
6AZ21kPj2a0INgf3uCviVu,Bazzi vs.,Beautiful (feat. Camila Cabello) [Bazzi vs. EDX's Ibiza Sunrise Remix],Pop Remix,pop,dance pop
3uXHSf9sSIpOJWuC1H8DiU,Khalid,Talk (Disclosure VIP),Pop Remix,pop,dance pop
4Q9iBGT9b9CVTtDwsgQWnl,Herve Pagez,Spicy (with Diplo & Charli XCX) [Remixes],Pop Remix,pop,dance pop
6LCsZ8ARrIq0n9nr6gM2ru,Mark Ronson,Don't Leave Me Lonely (feat. Yebba) [Claptone Remix],Pop Remix,pop,dance pop
27F9FlipD657qYRQT3qxFm,James Arthur,Treehouse (R3HAB Remix),Pop Remix,pop,dance pop
6B9cqNooxIyPfr3P5EB8LA,Arlissa,"Hearts Ain't Gonna Lie (Remixes,2018-02-09,37i9dQZF1DXcZDD7cfEKhW,pop
05CwHjIk71RXVU40boRMnR,The Chainsmokers,World War Joy,Dance Pop,pop,dance pop
0qc4QlcCxVTGyShurEv1UU,Sam Feldt,Magnets EP,Dance Pop,pop,dance pop
5icOoE6VgqFKohjWWNp0Ac,Marshmello,Here With Me,Dance Pop,pop,dance pop
6GIRtKNXokeu25nn7U6Hu8,5 Seconds of Summer,Easier (Seeb Remix),Dance Pop,pop,dance pop
4PkIDTPGedm0enzdvilLNd,Ellie Goulding,Sixteen,Dance Pop,pop,dance pop
5PYQUBXc7NYeI1obMKSJK0,Katy Perry,Never Really Over,Dance Pop,pop,dance pop
4Gcv5SsxnQWpmOnUI19EJk,Gryffin,All You Need To Know (feat. Calle Lehmann),Dance Pop,pop,dance pop
5YkmS18BehACOhIIeUqe6l,NOTD,I Miss Myself (with HRVY),Dance Pop,pop,dance pop
3vQhEd4lOg4mAV6CHCgoHW,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B) [Sam Feldt Remix],Dance Pop,pop,dance pop
6wo37KVqFJhtuxPTpLCcfe,The Chainsmokers,World War Joy...Takeaway,Dance Pop,pop,dance pop
3OTSBoYKO7HzGVj8Bu2OH9,Zara Larsson,All the Time,Dance Pop,pop,dance pop
4NSW0Km5ZG60L8FthUebPJ,Jonas Blue,What I Like About You (feat. Theresa Rex),Dance Pop,pop,dance pop
1xK7enJZVdv37fnnxoZlPq,Kaskade,With You,Dance Pop,pop,dance pop
1z1XegUChLLQfcbtIK8ABn,Gryffin,Body Back (feat. Maia Wright),Dance Pop,pop,dance pop
6aoGtdWXBkYQ2O2wnyIz2x,Kygo,Not Ok,Dance Pop,pop,dance pop
5tAa8Uaqr4VvA3693mbIhU,Zara Larsson,Ruin My Life,Dance Pop,pop,dance pop
18W92Zm1KjLCbUIszOhpkD,NOTD,I Wanna Know (feat. Bea Miller),Dance Pop,pop,dance pop
3D37T7euWvVJ45evRmriIh,3LAU,Better With You,Dance Pop,pop,dance pop
3y3brCCecHC3Db18aIOnny,Kygo,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Dance Pop,pop,dance pop
6XqvFyJGdUD5IWee02ARKU,Jonas Blue,Blue,Dance Pop,pop,dance pop
575NJxNUVDqwJGdzBrlLbv,Shawn Mendes,Lost In Japan (Remix),Dance Pop,pop,dance pop
70YPzqSEwJvAIQ6nMs1cjY,ILLENIUM,ASCEND,Dance Pop,pop,dance pop
7Ht0v0LWBCOEjmNQ0iMpNr,Loud Luxury,I'm Not Alright,Dance Pop,pop,dance pop
6nDKrPlXdpomGBgAlO7UdP,Avicii,SOS,Dance Pop,pop,dance pop
2b1BwUGGyKq0CoJd8G1B6M,Jax Jones,Snacks,Dance Pop,pop,dance pop
09IStsImFySgyp0pIQdqAc,Zedd,The Middle,Dance Pop,pop,dance pop
1lGVyEkGHUz7Pg78QGaS4a,NOTD,Wanted,Dance Pop,pop,dance pop
6ksMjdec8b6C45TUawkAdu,Steve Aoki,Crash Into Me,Dance Pop,pop,dance pop
1vsQb8n0icvMsFnL9663LM,Gryffin,Gravity,Dance Pop,pop,dance pop
6pooRNiLyYpxZeIA5kJ5EX,ILLENIUM,Good Things Fall Apart (with Jon Bellion),Dance Pop,pop,dance pop
5WHTFyqSii0lmT9R21abT8,Mabel,Ivy To Roses (Mixtape),Dance Pop,pop,dance pop
1pBO9JDqh1y3TbCKEO1OvG,A R I Z O N A,Nostalgic,Dance Pop,pop,dance pop
1LjxmkW3xRQP2HzswhYyyc,Steve Aoki,Let It Be Me,Dance Pop,pop,dance pop
7FCZhkhzEUVNUAlGauNKIe,Starley,Lovers + Strangers,Dance Pop,pop,dance pop
2JoIjuzRplpYGvvLpSW2on,Alesso,Sad Song (feat. TINI),Dance Pop,pop,dance pop
4PUWpNtDejQwwa80LjvxXl,ayokay,In the Shape of a Dream,Dance Pop,pop,dance pop
1nufXiTCTTAeJfO9hLHvO8,ARTY,Save Me Tonight,Dance Pop,pop,dance pop
1NDxZ7cFAo481dtYWdrUnR,Maggie Lindemann,Pretty Girl (Cheat Codes X CADE Remix),Dance Pop,pop,dance pop
1ahVFh0ViDZr8LvkEVlq3B,Martin Garrix,No Sleep (feat. Bonn),Dance Pop,pop,dance pop
0Ev562zA4pmUsBqjxsxxdx,Gryffin,Feel Good (feat. Daya),Dance Pop,pop,dance pop
5l8AUgBTWuOECwVgYtaUyE,Cashae,Endless Summer,Dance Pop,pop,dance pop
35MKhw2YBKApmD7fAnPERC,Galantis,Faith (with Dolly Parton) [feat. Mr. Probz],Dance Pop,pop,dance pop
3Kuu5vASpXK8oRsxOvau6P,Kygo,Think About You,Dance Pop,pop,dance pop
7KW3XQV5Or5CF57MYVj5h4,Carly Rae Jepsen,Dedicated,Dance Pop,pop,dance pop
3M9Apu4OZfylLTFKvgEtKa,Tiësto,Ritual,Dance Pop,pop,dance pop
5N4erncE7kuUccm7zEmwzk,Silk City,Electricity (with Dua Lipa),Dance Pop,pop,dance pop
6QcrReLyoun4xrPVsZ5OJE,Shallou,Lie,Dance Pop,pop,dance pop
1kQhi22kyluRCnIPAXtxEZ,benny blanco,FRIENDS KEEP SECRETS,Dance Pop,pop,dance pop
5cE201rNvIkryS8N1dJ5nR,Carly Rae Jepsen,Now That I Found You / No Drug Like Me,Dance Pop,pop,dance pop
4AkCyd9Nlbt8JprQq9V6o2,R3HAB,All Comes Back To You,Dance Pop,pop,dance pop
48GmVZwvkoVC5StfMLfNJE,DVBBS,Need U,Dance Pop,pop,dance pop
01iyINEYgPQ7ThMZuHUsqS,Lost Kings,First Love,Dance Pop,pop,dance pop
6BwClo5W3VvTzJv8bvZXDD,Armin van Buuren,Something Real,Dance Pop,pop,dance pop
108r6pnZHStBIktpyyps9w,Alesso,ALESSO MIXTAPE - PROGRESSO VOLUME 1,Dance Pop,pop,dance pop
24Hzd4FPhz0HPx9jhM9cap,Elderbrook,Distinction EP,Dance Pop,pop,dance pop
4aTtHoSBB0CuQGA6vXBNyp,Martin Garrix,Home (feat. Bonn),Dance Pop,pop,dance pop
0gIZLyF3MWQVcspzrLWYod,FANNYPACK,Simple (STVW Remix),Dance Pop,pop,dance pop
6y1UtRcHQU07aUs3oxZ8Yn,Joel Corry,Sorry,Dance Pop,pop,dance pop
54z0kLF0skj0Hdb9wCqPJt,Herve Pagez,Spicy (with Diplo & Charli XCX),Dance Pop,pop,dance pop
6mPstbtzhyqKmwefY4eVWD,Lindsey Stirling,The Upside (feat. Elle King) / The Upside / Underground,Dance Pop,pop,dance pop
6uBhi9gBXWjanegOb2Phh0,Zedd,Stay,Dance Pop,pop,dance pop
1Pe3Tnahd3nNcKrTvNvNvW,Armin van Buuren,Balance,Dance Pop,pop,dance pop
4w8niZpiMy6qz1mntFA5uM, Ozuna & Cardi B)",0ZHyvPke0EcVt6rYA8Ins3, Ozuna & Cardi B)",Dance Pop,37i9dQZF1DWZQaaqNMbbXa
7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,Closer (feat. Halsey),Dance Pop,pop,dance pop
2IDHoSlbG0CKH9rhq68wTb,ODESZA,Say My Name Remixes,Dance Pop,pop,dance pop
