track_artist,track_popularity,track_album_name
Childish Gambino,2,"""Awaken, My Love!"""
Childish Gambino,18,"""Awaken, My Love!"""
Childish Gambino,4,"""Awaken, My Love!"""
Childish Gambino,58,"""Awaken, My Love!"""
Childish Gambino,1,"""Awaken, My Love!"""
Childish Gambino,81,"""Awaken, My Love!"""
Childish Gambino,15,"""Awaken, My Love!"""
Childish Gambino,2,"""Awaken, My Love!"""
Childish Gambino,1,"""Awaken, My Love!"""
Childish Gambino,1,"""Awaken, My Love!"""
Childish Gambino,18,"""Awaken, My Love!"""
Maluma,68,11:11
Maluma,82,11:11
Maluma,86,11:11
Maluma,86,11:11
Maluma,68,11:11
Maluma,83,11:11
Maluma,86,11:11
Calvin Harris,71,18 Months
Calvin Harris,69,18 Months
Calvin Harris,75,18 Months
Calvin Harris,69,18 Months
Calvin Harris,67,18 Months
Calvin Harris,75,18 Months
Calvin Harris,69,18 Months
Calvin Harris,69,18 Months
Calvin Harris,12,18 Months
Calvin Harris,71,18 Months
Calvin Harris,63,18 Months
Calvin Harris,67,18 Months
The Game,31,1992
The Game,35,1992
The Game,31,1992
The Game,30,1992
The Game,39,1992
The Game,57,1992
The Game,33,1992
The Game,44,1992
Dr. Dre,64,2001
Dr. Dre,71,2001
Dr. Dre,75,2001
Dr. Dre,75,2001
Dr. Dre,70,2001
Dr. Dre,71,2001
Dr. Dre,57,2001
Dr. Dre,64,2001
Dr. Dre,73,2001
Dr. Dre,71,2001
Adele,79,21
Adele,74,21
Adele,75,21
Adele,77,21
Adele,79,21
Sleepy Bear,42,21
Adele,79,21
Omarion,63,21
Adele,56,21
Adele,66,21
Bruno Mars,82,24K Magic
Bruno Mars,82,24K Magic
Bruno Mars,78,24K Magic
Bruno Mars,82,24K Magic
Bruno Mars,68,24K Magic
Bruno Mars,78,24K Magic
Bruno Mars,82,24K Magic
Adele,71,25
Adele,73,25
Michael Learns To Rock,40,25
Michael Learns To Rock,40,25
Michael Learns To Rock,35,25
Michael Learns To Rock,41,25
Michael Learns To Rock,36,25
Michael Learns To Rock,35,25
Michael Learns To Rock,42,25
Michael Learns To Rock,37,25
Michael Learns To Rock,34,25
Adele,71,25
Juvenile,45,400 Degreez
Juvenile,47,400 Degreez
Juvenile,65,400 Degreez
Juvenile,37,400 Degreez
Juvenile,31,400 Degreez
Juvenile,39,400 Degreez
Juvenile,47,400 Degreez
Juvenile,65,400 Degreez
Lil Nas X,90,7 EP
Lil Nas X,84,7 EP
Lil Nas X,78,7 EP
Lil Nas X,84,7 EP
Lil Nas X,90,7 EP
Lil Nas X,84,7 EP
Lil Nas X,90,7 EP
Lil Nas X,84,7 EP
Lil Nas X,90,7 EP
Lil Nas X,84,7 EP
Fifth Harmony,78,7/27 (Deluxe)
Fifth Harmony,78,7/27 (Deluxe)
Fifth Harmony,78,7/27 (Deluxe)
Fifth Harmony,66,7/27 (Deluxe)
Fifth Harmony,66,7/27 (Deluxe)
Fifth Harmony,66,7/27 (Deluxe)
Fifth Harmony,78,7/27 (Deluxe)
Fifth Harmony,70,7/27 (Deluxe)
Shai,38,90s R&B
Hi-Five,32,90s R&B
Zhané,29,90s R&B
SWV,29,90s R&B
Groove Theory,27,90s R&B
