Tego Calderon,0,2004
R3SPAWN,34,2019
DJ Eddie F,37,2019
ZEROFREQ,19,2019
Farruko,24,2016
Maroon 5,8,2017
Sidney Samson,0,2014
Big Pokey,24,1999
Sebastian Yatra,78,2019
Michael Schulte,71,2012
Scoo8y Smack,21,2019
Alesso,40,2012
Billy Joel,32,2010
Rkomi,63,2019
Martin Garrix,59,2016
Summer Heart,50,2012
East Love,46,2019
Post Malone,88,2018
Ariana Grande,69,2018
Dire Straits,26,1985
Quintino,0,2013
ZAYN,22,2016
Elle & The Pocket Belles,28,2015
Atlas For Infinity,19,2019
LVNDSCAPE,57,2019
James Arthur,53,2018
Moonstar88,61,2008
Ed Sheeran,52,2013
Sweet,60,1974
Wallaby,46,2019
Young the Giant,66,2016
Monaco Trash Machine,40,2019
Soul II Soul,59,1989
Swae Lee,68,2019
Black Sabbath,66,1970
alt-J,63,2012
R.K.M & Ken-Y,45,2007
Dynoro,66,2018
Bryson Tiller,79,2015
Tiro De Gracia,45,2004
flor,57,2018
Enzo Ingrosso,58,2019
Skid Row,59,1998
Lost Frequencies,24,2017
Dr. Dre,39,1996
Calvin Harris,2,2016
Brewski,15,2016
EBEN,37,2018
Ben Henchman,40,2019
Olly Murs,59,2012
Tame Impala,76,2019
Gyedu-Blay Ambolley,29,2012
Cam M.,33,2019
Green Day,75,1994
ELEVATION RHYTHM,43,2019
Tyler Shaw,42,2018
Zara Larsson,14,2015
America,69,1972
Axwell,39,2005
Reykon,0,2012
Blackstreet,57,1994
Café Amargo,42,2013
Broods,60,2019
Larris V,7,2017
Jess Glynne,70,2018
More Ease,37,2019
Troy,52,2007
Jake Isaac,48,2018
AtellaGali,0,2017
Wolfmother,66,2006
Genesis,60,1986
P.M. Dawn,0,1993
Steve Miller Band,67,1976
Conya Doss,37,2012
Bad Company,68,1975
Wham!,26,1984
India Marte,41,2019
Scorpions,64,2011
Marracash,78,2019
Xavier Omär,64,2018
Bobby Brown,35,1988
DJ Snake,88,2019
Eminem,1,2005
Tomoko Aran,39,1983
Alok,56,2019
Robin Schulz,54,2017
DaBaby,79,2019
Boston,69,1976
J Hus,75,2019
Erasure,1,2015
Grouplove,55,2017
Kendrick Lamar,15,2011
Queen,67,1978
Husman,24,2016
The Who,12,1978
オメガトライブ,25,1983
Bad Wolves,61,2018
Bomba Estéreo,50,2019
Anthony Hamilton,47,2003
Steerner,0,2014
Loote,67,2018
Daniel Skye,52,2015
DED STARK,37,2019
Daddy Yankee,5,2013
Dokken,50,2010
BONES,37,2019
D'Angelo,2,2008
5 Seconds of Summer,84,2018
Travis Scott,89,2019
Dapuntobeat,17,2014
Johnny Gill,32,1990
Fanny Lu,33,2012
Showtek,41,2013
Rockie Fresh,49,2019
Martin Jensen,61,2016
Anna Margaret,31,2010
Kygo,73,2019
