track_name,track_artist,track_popularity,track_album_release_date,danceability,energy,acousticness,liveness
I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,66,14/6/19,0.748,0.916,0.102,0.0653
Memories - Dillon Francis Remix,Maroon 5,67,13/12/19,0.726,0.815,0.0724,0.357
All the Time - Don Diablo Remix,Zara Larsson,70,5/7/19,0.675,0.931,0.0794,0.11
Call You Mine - Keanu Silva Remix,The Chainsmokers,60,19/7/19,0.718,0.93,0.0287,0.204
Someone You Loved - Future Humans Remix,Lewis Capaldi,69,5/3/19,0.65,0.833,0.0803,0.0833
Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,67,11/7/19,0.675,0.919,0.0799,0.143
Never Really Over - R3HAB Remix,Katy Perry,62,26/7/19,0.449,0.856,0.187,0.176
Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,69,29/8/19,0.542,0.903,0.0335,0.111
Tough Love - Tiësto Remix / Radio Edit,Avicii,68,14/6/19,0.594,0.935,0.0249,0.637
If I Can't Have You - Gryffin Remix,Shawn Mendes,67,20/6/19,0.642,0.818,0.0567,0.0919
Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,58,21/6/19,0.679,0.923,0.146,0.124
Hate Me - R3HAB Remix,Ellie Goulding,67,16/8/19,0.437,0.774,0.148,0.133
Body On My,Loud Luxury,67,29/3/19,0.744,0.726,0.0399,0.374
SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,68,17/5/19,0.572,0.915,0.0111,0.339
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,63,12/7/19,0.69,0.78,0.00733,0.0729
South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,66,11/12/19,0.805,0.835,0.13,0.365
All My Friends - Eden Prince Remix,AJ Mitchell,60,3/5/19,0.694,0.901,0.0702,0.427
Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,David Guetta,65,28/12/18,0.678,0.747,0.0395,0.174
Dancing With A Stranger (With Normani) - Cheat Codes Remix,Sam Smith,69,8/3/19,0.746,0.557,0.103,0.138
Let It Be Me - Sondr Remix,Steve Aoki,35,18/10/19,0.467,0.821,0.00791,0.131
Heaven - David Guetta & MORTEN Remix,Avicii,70,23/8/19,0.572,0.934,0.00292,0.105
All Around The World (La La La) - Marnik Remix,R3HAB,64,23/8/19,0.708,0.913,0.089,0.113
Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,62,8/5/19,0.684,0.818,0.0469,0.119
Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,70,25/10/19,0.732,0.85,0.114,0.0388
Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,58,24/5/19,0.62,0.889,0.0163,0.395
Hold Me While You Wait - Steve Void Remix,Lewis Capaldi,63,21/6/19,0.675,0.76,0.104,0.33
One Thing Right - Firebeatz Remix,Marshmello,66,9/8/19,0.682,0.851,0.0146,0.0289
Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,Ellie Goulding,8,1/2/19,0.663,0.905,0.0325,0.333
