track_name,track_artist,track_popularity,track_album_release_date
I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,66,14/6/19
Memories - Dillon Francis Remix,Maroon 5,67,13/12/19
All the Time - Don Diablo Remix,Zara Larsson,70,5/7/19
Call You Mine - Keanu Silva Remix,The Chainsmokers,60,19/7/19
Someone You Loved - Future Humans Remix,Lewis Capaldi,69,5/3/19
Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,67,11/7/19
Never Really Over - R3HAB Remix,Katy Perry,62,26/7/19
Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,69,29/8/19
Tough Love - Tiësto Remix / Radio Edit,Avicii,68,14/6/19
If I Can't Have You - Gryffin Remix,Shawn Mendes,67,20/6/19
Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,58,21/6/19
Hate Me - R3HAB Remix,Ellie Goulding,67,16/8/19
Body On My,Loud Luxury,67,29/3/19
SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,68,17/5/19
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,63,12/7/19
South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,66,11/12/19
All My Friends - Eden Prince Remix,AJ Mitchell,60,3/5/19
Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,David Guetta,65,28/12/18
Dancing With A Stranger (With Normani) - Cheat Codes Remix,Sam Smith,69,8/3/19
Let It Be Me - Sondr Remix,Steve Aoki,35,18/10/19
Heaven - David Guetta & MORTEN Remix,Avicii,70,23/8/19
All Around The World (La La La) - Marnik Remix,R3HAB,64,23/8/19
Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,62,8/5/19
Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,70,25/10/19
Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,58,24/5/19
Hold Me While You Wait - Steve Void Remix,Lewis Capaldi,63,21/6/19
One Thing Right - Firebeatz Remix,Marshmello,66,9/8/19
Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,Ellie Goulding,8,1/2/19
So Am I - Toby Green Remix,Ava Max,62,23/5/19
When You Leave - Breathe Carolina Remix,Nikki Vianna,30,19/4/19
Mother - Fedde Le Grand Remix,Charlie Puth,56,1/11/19
Signs - Eden Prince Remix,Starley,56,30/11/18
Ruin My Life - Steve James Remix,Zara Larsson,58,23/11/18
Torn - KREAM Remix,Ava Max,60,5/9/19
Quite Miss Home - Steve Void Remix,James Arthur,60,22/11/19
Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,55,21/6/19
Happier - Matt Medved Remix,Marshmello,59,30/11/18
Side Effects - Fedde Le Grand Remix,The Chainsmokers,63,25/7/18
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,67,12/7/19
Paradise - Bazzi vs. Black Caviar Remix,Bazzi vs.,55,27/6/19
White Mercedes - EDX's Miami Sunset Remix,Charli XCX,56,25/10/19
Higher Love,Kygo,87,28/6/19
Unlove You,Armin van Buuren,62,18/10/19
bad guy (with Justin Bieber),Billie Eilish,83,11/7/19
Freaking Me Out - Keanu Silva Remix,Ava Max,55,1/11/19
Heaven Can Wait - The Aston Shuffle Remix,Sia,61,24/5/19
When It Comes To You - Benny Benassi & BB Team Remix,Sean Paul,56,25/10/19
Gone - The Wild Remix,Charli XCX,57,9/8/19
American Boy - Brooks Remix,Estelle,56,14/6/19
Million Pieces - M-22 Remix,Bastille,53,27/9/19
joy. (R3HAB Remix),for KING & COUNTRY,56,25/1/19
Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,34,12/11/19
Old Town Road - Diplo Remix,Lil Nas X,74,29/4/19
Lovers + Strangers - GATTÜSO Remix,Starley,46,15/11/19
Promises (with Sam Smith) - David Guetta Remix,Calvin Harris,63,19/10/18
Flames (with ZAYN) - R3HAB & Skytech VIP Remix,R3HAB,55,12/12/19
What Am I - SONDR Remix,Why Don't We,52,1/11/19
Cool Kids,Olympis,67,1/11/19
Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,63,9/8/19
All Star - Breathe Carolina Remix,Smash Mouth,60,23/8/19
Trampoline - Dave Audé Remix,SHAED,45,27/12/19
Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,58,11/7/19
With You - Dexter Remix,Kaskade,51,12/9/19
Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,58,15/11/19
Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Bazzi vs.,56,28/9/18
Talk - Disclosure VIP,Khalid,60,27/3/19
Spicy - Majestic Remix,Herve Pagez,48,11/10/19
Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,56,4/10/19
Treehouse - R3HAB Remix,James Arthur,56,13/9/19
Hearts Ain't Gonna Lie - Eden Prince Remix,Arlissa,65,9/2/18
Call You Mine,The Chainsmokers,39,31/5/19
Post Malone (feat. RANI),Sam Feldt,83,24/5/19
Here With Me,Marshmello,83,8/3/19
Easier - Seeb Remix,5 Seconds of Summer,71,12/7/19
Sixteen,Ellie Goulding,81,12/4/19
Never Really Over,Katy Perry,85,31/5/19
All You Need To Know (feat. Calle Lehmann),Gryffin,76,27/3/19
I Miss Myself (with HRVY),NOTD,71,3/5/19
South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,65,4/10/19
Takeaway (feat. Lennon Stella),The Chainsmokers,67,24/7/19
All the Time,Zara Larsson,74,21/6/19
What I Like About You (feat. Theresa Rex),Jonas Blue,81,22/3/19
With You,Kaskade,71,14/6/19
Body Back (feat. Maia Wright),Gryffin,75,18/10/19
Not Ok,Kygo,73,23/5/19
Ruin My Life,Zara Larsson,79,18/10/18
I Wanna Know (feat. Bea Miller),NOTD,74,16/3/18
Better With You,3LAU,63,1/3/19
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,79,19/4/19
Polaroid,Jonas Blue,16,9/11/18
Lost In Japan - Remix,Shawn Mendes,75,27/9/18
In Your Arms (with X Ambassadors),ILLENIUM,75,16/8/19
I'm Not Alright,Loud Luxury,55,12/7/19
SOS,Avicii,30,10/4/19
Harder,Jax Jones,62,12/7/19
The Middle,Zedd,84,23/1/18
Wanted,NOTD,70,27/9/19
Crash Into Me,Steve Aoki,37,12/7/19
Need Your Love (with Noah Kahan),Gryffin,70,24/10/19
Good Things Fall Apart (with Jon Bellion),ILLENIUM,74,13/5/19
Don't Call Me Up,Mabel,85,18/1/19
Nostalgic,A R I Z O N A,36,18/6/19
Let It Be Me,Steve Aoki,52,6/9/19
Lovers + Strangers,Starley,58,11/10/19
Sad Song (feat. TINI),Alesso,72,14/6/19
Sleepless Nights,ayokay,64,31/8/18
Save Me Tonight,ARTY,63,25/1/19
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,77,2/3/17
No Sleep (feat. Bonn),Martin Garrix,76,21/2/19
Feel Good (feat. Daya),Gryffin,74,3/3/17
Endless Summer,Cashae,56,12/7/19
Faith (with Dolly Parton) [feat. Mr. Probz],Galantis,77,25/10/19
Think About You,Kygo,71,14/2/19
Party For One,Carly Rae Jepsen,64,17/5/19
Ritual,Tiësto,82,31/5/19
Electricity (with Dua Lipa),Silk City,81,6/9/18
Lie,Shallou,41,25/1/18
I Found You (with Calvin Harris),benny blanco,62,7/12/18
Now That I Found You,Carly Rae Jepsen,5,27/2/19
All Comes Back To You,R3HAB,72,25/10/19
Need U,DVBBS,24,16/8/19
First Love,Lost Kings,58,13/10/17
