playlist_genre,playlist_subgenre,instrumentalness,tmp_data,duration_ms,duration_sec,duration_min
pop,dance pop,0,0,194754,194.754,3.2459
pop,dance pop,0.00421,0.00421,162600,162.6,2.71
pop,dance pop,2.33E-05,0.0000233,176616,176.616,2.9436
pop,dance pop,9.43E-06,0.00000943,169093,169.093,2.818216667
pop,dance pop,0,0,189052,189.052,3.150866667
pop,dance pop,0,0,163049,163.049,2.717483333
pop,dance pop,0,0,187675,187.675,3.127916667
pop,dance pop,4.83E-06,0.00000483,207619,207.619,3.460316667
pop,dance pop,3.97E-06,0.00000397,193187,193.187,3.219783333
pop,dance pop,0,0,253040,253.04,4.217333333
pop,dance pop,4.92E-06,0.00000492,207894,207.894,3.4649
pop,dance pop,0,0,203733,203.733,3.39555
pop,dance pop,0,0,192507,192.507,3.20845
pop,dance pop,0,0,164516,164.516,2.741933333
pop,dance pop,0.00183,0.00183,255238,255.238,4.253966667
pop,dance pop,5.03E-06,0.00000503,188230,188.23,3.137166667
pop,dance pop,0,0,173548,173.548,2.892466667
pop,dance pop,0,0,189375,189.375,3.15625
pop,dance pop,0.0036,0.0036,159404,159.404,2.656733333
pop,dance pop,4.41E-04,0.000441,185366,185.366,3.089433333
pop,dance pop,0.0198,0.0198,215238,215.238,3.5873
pop,dance pop,0.081,0.081,170667,170.667,2.84445
pop,dance pop,3.39E-06,0.00000339,210968,210.968,3.516133333
pop,dance pop,2.02E-06,0.00000202,193548,193.548,3.2258
pop,dance pop,1.86E-05,0.0000186,205093,205.093,3.418216667
pop,dance pop,0,0,172800,172.8,2.88
pop,dance pop,8.34E-04,0.000834,192381,192.381,3.20635
pop,dance pop,0,0,175000,175,2.916666667
pop,dance pop,2.60E-04,0.00026,166875,166.875,2.78125
pop,dance pop,0,0,155080,155.08,2.584666667
pop,dance pop,0.00131,0.00131,178125,178.125,2.96875
pop,dance pop,3.03E-05,0.0000303,172000,172,2.866666667
pop,dance pop,4.77E-04,0.000477,177097,177.097,2.951616667
pop,dance pop,0.00467,0.00467,169935,169.935,2.83225
pop,dance pop,0,0,220413,220.413,3.67355
pop,dance pop,7.36E-05,0.0000736,185273,185.273,3.087883333
pop,dance pop,9.09E-06,0.00000909,170164,170.164,2.836066667
pop,dance pop,2.83E-05,0.0000283,172360,172.36,2.872666667
pop,dance pop,0,0,247385,247.385,4.123083333
pop,dance pop,3.17E-04,0.000317,218015,218.015,3.633583333
pop,dance pop,2.23E-05,0.0000223,200444,200.444,3.340733333
pop,dance pop,6.05E-06,0.00000605,228267,228.267,3.80445
pop,dance pop,3.33E-05,0.0000333,150160,150.16,2.502666667
